Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
399006,2010/6/25,1046.21,1046.21,999.16,1016.28,12372.98,451566.44,-3.2667
399006,2010/6/28,1009.22,1014.41,984.22,987.83,9206.73,346355.23,-2.7994
399006,2010/6/29,985.57,992.23,912.54,913.31,14978,529389.67,-7.5438
399006,2010/6/30,898.29,921.81,881.36,919.31,12236.61,385215.85,0.657
399006,2010/7/1,914.4,921.21,882.19,882.19,10495.73,366377.37,-4.0378
399006,2010/7/2,878.95,885.34,832.62,873.12,12888.34,421266.18,-1.0281
399006,2010/7/5,857.37,870.86,842.73,862.27,9158.64,285173.61,-1.2427
399006,2010/7/6,859.26,898.45,857.8,893.72,11652.32,375105.56,3.6473
399006,2010/7/7,896.53,908.55,890.34,908.55,10461.63,334247.37,1.6594
399006,2010/7/8,912,914.3,887.03,905.51,10980.88,378069.89,-0.3346
399006,2010/7/9,903.5,936.53,896.89,932.15,14514.6,474325.66,2.942
399006,2010/7/12,931.54,941.07,924.06,930.17,12636.18,418814.72,-0.2124
399006,2010/7/13,924.95,936.64,906.3,931.08,14686.57,474413.57,0.0978
399006,2010/7/14,929.75,937.93,916.07,922.36,14235.86,464808.04,-0.9365
399006,2010/7/15,920.05,930.56,892.56,892.56,11758.81,396049.08,-3.2308
399006,2010/7/16,885.07,895.06,869.02,892.3,10093.12,326422.17,-0.0291
399006,2010/7/19,881.66,910.18,878.07,908.05,9388.03,299258.42,1.7651
399006,2010/7/20,909.54,937.55,909.54,937.02,13658.09,455958.07,3.1904
399006,2010/7/21,940.1,959.04,938.16,941.25,16657.46,596065.38,0.4514
399006,2010/7/22,938.22,950.21,932.02,950.21,13266.03,435666.94,0.9519
399006,2010/7/23,951.84,964.74,948.13,960.59,17212.51,533908.63,1.0924
399006,2010/7/26,962.76,966.73,954.76,966.15,14760.36,462604.49,0.5788
399006,2010/7/27,963.54,968.04,955.73,957.97,13618.21,457408.67,-0.8467
399006,2010/7/28,955.19,972.53,954.52,972.53,15661.83,518722.76,1.5199
399006,2010/7/29,974.3,982.02,965.61,975.36,17941.93,589785.34,0.291
399006,2010/7/30,971.66,971.66,955.92,968.43,14584.87,504947.3,-0.7105
399006,2010/8/2,968.45,994.23,968.45,994.23,18103.64,610440.76,2.6641
399006,2010/8/3,995.2,996.26,975.65,975.65,17570.59,595141.48,-1.8688
399006,2010/8/4,971.41,978.01,955.93,978.01,14461.65,475829.71,0.2419
399006,2010/8/5,980.27,998.1,978.33,987.35,17704,603398.71,0.955
399006,2010/8/6,987.97,1011.39,985.63,1011.39,18990.61,622531.69,2.4348
399006,2010/8/9,1013.25,1032.34,1013.25,1032.34,20919.95,691889.87,2.0714
399006,2010/8/10,1031.98,1034.33,993.99,993.99,21770.72,710682.27,-3.7149
399006,2010/8/11,991.28,1006.45,990.94,1004.64,16150.78,518018.97,1.0714
399006,2010/8/12,994.05,1007.58,987.98,991.78,16891.89,531605.56,-1.2801
399006,2010/8/13,992.63,1007.52,986.62,1007.21,14717.98,483145.01,1.5558
399006,2010/8/16,1007.5,1031.05,1005.05,1030.22,18804,619992.32,2.2845
399006,2010/8/17,1031.08,1036.82,1023.08,1033.58,18007.77,609295.21,0.3261
399006,2010/8/18,1033.71,1035.61,1018.5,1026.72,16435.01,572127.85,-0.6637
399006,2010/8/19,1026.98,1033.25,1021.7,1025.53,16245.34,554740.68,-0.1159
399006,2010/8/20,1021.46,1022.45,993.56,995.94,18702.25,659777.18,-2.8853
399006,2010/8/23,994.94,1001.18,991.52,995.61,14560.14,506415,-0.0331
399006,2010/8/24,993.58,1007.76,987.22,1004.99,13650.52,494214.86,0.9421
399006,2010/8/25,1000.27,1002.33,976.56,976.88,15013.43,524765.8,-2.797
399006,2010/8/26,978.6,984.87,973,980.63,12880.67,466832.9,0.3839
399006,2010/8/27,978.51,1000.86,975.72,999.46,12162.43,449046.63,1.9202
399006,2010/8/30,1002.99,1025.15,1002.99,1024.93,16454.12,599785.11,2.5484
399006,2010/8/31,1020.75,1029.8,1015.13,1025.57,15347,574261.76,0.0624
399006,2010/9/1,1025.68,1029.81,987.59,995.59,18643.63,680522.34,-2.9233
399006,2010/9/2,1001.6,1018.28,996.52,1014.92,16308.57,590510.23,1.9416
399006,2010/9/3,1017.64,1045.21,1017.51,1036.7,22893.65,844872.45,2.146
399006,2010/9/6,1039.46,1043.24,1007.43,1010.76,18130.81,646621.24,-2.5022
399006,2010/9/7,1010.12,1022.62,1007.64,1022.62,12845.15,458603.11,1.1736
399006,2010/9/8,1020.23,1027.64,1016.84,1026.33,14038.19,479594.6,0.3623
399006,2010/9/9,1029.11,1040.67,1019.69,1021.83,19598.03,640498.33,-0.438
399006,2010/9/10,1021.87,1037.51,1016.19,1034.94,18122.9,574387.25,1.2827
399006,2010/9/13,1034.39,1045.39,1033.25,1042.48,16678.9,552766.05,0.7288
399006,2010/9/14,1044.3,1046.13,1028.77,1031.22,15902.32,555420.47,-1.0804
399006,2010/9/15,1029.52,1030.02,987.05,990.1,18182.74,623821.26,-3.9871
399006,2010/9/16,989.49,994.95,964.53,972.6,14420.58,484302.95,-1.7676
399006,2010/9/17,976.07,981.73,967.56,972.23,9678.41,327160.12,-0.0384
399006,2010/9/20,972.45,975.26,947.41,949.2,9236.59,313627.14,-2.3692
399006,2010/9/21,952.07,953.83,930.25,934.46,8358.59,266443.01,-1.5523
399006,2010/9/27,936.21,951.84,930.87,950.67,8929.37,289653.4,1.7347
399006,2010/9/28,949.63,949.89,939.63,942.05,9394.34,294371.02,-0.9069
399006,2010/9/29,941.27,944.17,924.42,926.76,8317.35,280526.39,-1.6232
399006,2010/9/30,923.83,942.54,921.36,942.54,6997.37,225241.32,1.7028
399006,2010/10/8,946.47,963.18,945.62,959.86,10839.6,341585.02,1.838
399006,2010/10/11,960.91,961.17,941.91,947.11,14468.7,470248.65,-1.3286
399006,2010/10/12,946.63,959.98,945.01,951.79,12401.92,391527.88,0.4941
399006,2010/10/13,951.33,962.74,940.65,962.74,13305.17,412369.05,1.1503
399006,2010/10/14,963.29,975.91,956.86,958.5,13964.05,457734.71,-0.4407
399006,2010/10/15,954.12,957.77,937.12,944.25,13524.98,434311.12,-1.4858
399006,2010/10/18,941.87,941.87,913.82,932.36,13278.76,424301.26,-1.2597
399006,2010/10/19,932.83,1005.59,932.32,995.92,23390.86,775244.29,6.8174
399006,2010/10/20,986.65,1024.58,986.03,1004.54,26381.33,859774.98,0.8655
399006,2010/10/21,1001.68,1001.68,983.66,991.84,15691.23,485364.68,-1.2643
399006,2010/10/22,991.14,1023.7,991.14,1013.45,17657.49,559642.61,2.1786
399006,2010/10/25,1018.08,1043.09,1018.08,1039.05,20636.89,671740.96,2.526
399006,2010/10/26,1041.53,1041.91,1020.94,1036.01,18384.14,589969.38,-0.2926
399006,2010/10/27,1034.86,1048.56,1028.7,1030.59,17016.89,562718.77,-0.5232
399006,2010/10/28,1024.7,1038.62,1023.49,1038.62,15924.77,536352.07,0.7792
399006,2010/10/29,1042.4,1069.75,1042.4,1064.52,22355.18,767878.38,2.4937
399006,2010/11/1,1071.63,1113.62,1071.63,1107.52,28179,983659.62,4.0397
399006,2010/11/2,1108.09,1108.09,1074.58,1075.15,24545.32,865922.15,-2.9229
399006,2010/11/3,1063.2,1063.2,1040.55,1040.62,16204.92,545422.28,-3.2116
399006,2010/11/4,1041.42,1057.71,1037.24,1057.71,13387.9,454920.86,1.6426
399006,2010/11/5,1067.87,1072.22,1058.26,1072.22,13970.24,479582.21,1.3714
399006,2010/11/8,1077.5,1107.06,1077.5,1107.06,17864.98,623522,3.2495
399006,2010/11/9,1110.43,1117.52,1102.01,1115.65,19002.22,674654.77,0.7757
399006,2010/11/10,1115.74,1147.48,1113.75,1141.58,22666.94,791695.87,2.3246
399006,2010/11/11,1137.08,1163.7,1132.36,1132.72,22979.06,797245.95,-0.7761
399006,2010/11/12,1126.85,1140.63,1080.27,1082.24,22922.84,805011.25,-4.4567
399006,2010/11/15,1087.81,1148.54,1086.52,1148.54,20913.13,772172.95,6.1261
399006,2010/11/16,1154.41,1175.31,1111.5,1126.18,28944.65,1038697.78,-1.9472
399006,2010/11/17,1115.12,1132.86,1080.93,1085.35,20761.14,710650.37,-3.6252
399006,2010/11/18,1090.14,1102.85,1077.06,1102.85,15699.07,521980.67,1.612
399006,2010/11/19,1106.75,1153.17,1105.59,1153.17,24142.28,811127.76,4.5633
399006,2010/11/22,1153.26,1194.2,1151.76,1174.94,30342.44,1060855.4,1.8876
399006,2010/11/23,1172.06,1183.84,1148.81,1183.5,21573.63,768175.16,0.7289
399006,2010/11/24,1176.42,1208.45,1174.68,1208.45,21203.83,759437.88,2.108
399006,2010/11/25,1212.77,1215.74,1177.83,1186.36,21012.09,752684.29,-1.8281
399006,2010/11/26,1184.8,1200.5,1179.28,1196.02,17470.79,632563.3,0.8143
399006,2010/11/29,1195.31,1221.75,1193.41,1220.11,19640.42,728794.62,2.0143
399006,2010/11/30,1219.08,1219.12,1146.98,1181.5,23623.48,851600.64,-3.1641
399006,2010/12/1,1176.61,1182.57,1169.89,1177.18,11946.92,436779.43,-0.366
399006,2010/12/2,1187.1,1192.8,1177.81,1177.84,12515.49,463597.72,0.0561
399006,2010/12/3,1177.17,1178.67,1148.09,1157.94,12048.67,445079.83,-1.6895
399006,2010/12/6,1157.72,1159.3,1124.94,1134.38,11331.21,405991.83,-2.0346
399006,2010/12/7,1132.33,1162.58,1123.76,1161.69,9249.36,343238.66,2.4075
399006,2010/12/8,1160.92,1176.42,1158.1,1160.24,10183.73,380419.1,-0.1248
399006,2010/12/9,1158.82,1160.91,1144.18,1144.53,9963.02,361731.64,-1.354
