Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
399006,2010/12/10,1139.83,1167.68,1136.33,1166.8,10298.98,386552.23,1.9458
399006,2010/12/13,1175.51,1210.75,1175.51,1209.27,16247.63,623317.52,3.6399
399006,2010/12/14,1211.46,1219.71,1204.66,1218.52,14226.49,533962.61,0.7649
399006,2010/12/15,1217.81,1224.05,1209.29,1211.8,14288.35,525572.21,-0.5515
399006,2010/12/16,1209.62,1233.62,1209.34,1225.03,14752.3,529529.28,1.0918
399006,2010/12/17,1222.93,1233.39,1222.93,1232.98,12838.42,480174.09,0.649
399006,2010/12/20,1235.67,1239.6,1180.53,1212.34,17495.93,678841.55,-1.674
399006,2010/12/21,1212.09,1222.3,1204.48,1215.02,12103.81,449164.34,0.2211
399006,2010/12/22,1214.77,1215.79,1199.68,1201.65,11092.18,405762.28,-1.1004
399006,2010/12/23,1198.74,1200.76,1175.86,1176.36,10730.45,410642.08,-2.1046
399006,2010/12/24,1170.7,1170.7,1140.13,1144.5,10118.28,382436.25,-2.7084
399006,2010/12/27,1145.7,1154.53,1100.52,1105.3,9968.25,368671.55,-3.4251
399006,2010/12/28,1098.94,1099.18,1080.4,1091.48,9421.66,322639.41,-1.2503
399006,2010/12/29,1091.82,1113.31,1091.82,1113.31,7896.72,284955.89,2
399006,2010/12/30,1113.56,1122.41,1106.43,1117.21,8218.67,302875.34,0.3503
399006,2010/12/31,1117.36,1138.47,1117.36,1137.66,8417.35,319030.4,1.8305
399006,2011/1/4,1142.17,1155.52,1140.04,1155.11,10632.97,438379.54,1.5339
399006,2011/1/5,1153.91,1159.12,1146.38,1155.35,10608.2,430636.76,0.0208
399006,2011/1/6,1153.63,1159.41,1134.09,1134.79,10485.02,428262.96,-1.7795
399006,2011/1/7,1132.73,1139.78,1119.61,1126.52,9680.03,390293.33,-0.7288
399006,2011/1/10,1124.34,1124.34,1089.06,1093.77,9529.45,379947.5,-2.9072
399006,2011/1/11,1089.99,1089.99,1068.4,1078.37,8658.76,322166.15,-1.408
399006,2011/1/12,1083.12,1095.52,1071.09,1089.67,8459.92,332545.26,1.0479
399006,2011/1/13,1094.83,1097.1,1089.67,1093.86,8104.24,314197.6,0.3845
399006,2011/1/14,1092.09,1092.09,1065.75,1067.42,7762.54,296777.32,-2.4171
399006,2011/1/17,1066.44,1066.99,1025.66,1028.16,10554.45,420238.53,-3.678
399006,2011/1/18,1021.84,1029.86,1014.63,1025.72,6216.64,240006.33,-0.2373
399006,2011/1/19,1025.93,1048.6,1023.15,1048.54,7061.58,274438.83,2.2248
399006,2011/1/20,1047.77,1051.52,1020.29,1020.39,8693.68,337956.52,-2.6847
399006,2011/1/21,1014.72,1033.52,1013.27,1024.51,7892.02,309007.98,0.4038
399006,2011/1/24,1024.79,1029.33,994.26,994.97,8482.96,347459.57,-2.8833
399006,2011/1/25,992.57,992.57,968.32,979,7372.62,270084.01,-1.6051
399006,2011/1/26,978.07,995.79,977.85,995.74,5762.56,213443.01,1.7099
399006,2011/1/27,991.06,1015.05,984.79,1013.02,7083.72,254658.15,1.7354
399006,2011/1/28,1013.64,1023.63,1011.31,1020.94,5956.63,218940.28,0.7818
399006,2011/1/31,1021.63,1030.19,1014.4,1029.12,7228.07,273718.14,0.8012
399006,2011/2/1,1029.67,1034.14,1026.9,1032.6,5910.58,228851.66,0.3382
399006,2011/2/9,1026.45,1037.84,1021.79,1025.15,6303.47,239160.02,-0.7215
399006,2011/2/10,1026.25,1063.95,1024.71,1063.95,10007.06,369281.6,3.7848
399006,2011/2/11,1067.19,1075.59,1065.15,1071.58,10175.32,382689.17,0.7171
399006,2011/2/14,1072.31,1087.31,1072.31,1086.56,11935.19,456889.86,1.3979
399006,2011/2/15,1086.8,1097.56,1082.27,1087.73,11845.61,448433.17,0.1077
399006,2011/2/16,1086.77,1107.24,1083.85,1107.24,12444.23,480165.78,1.7936
399006,2011/2/17,1108.63,1116.96,1103.89,1115.33,13196.28,532510.09,0.7306
399006,2011/2/18,1114.45,1114.69,1098.59,1100.46,12965.25,499305.91,-1.3332
399006,2011/2/21,1096.17,1117.67,1094.43,1117.67,14204.7,567840.57,1.5639
399006,2011/2/22,1118.61,1122.18,1087.01,1088.27,13973.09,559656.82,-2.6305
399006,2011/2/23,1088.08,1117.29,1087.86,1114.05,12818.34,576297.97,2.3689
399006,2011/2/24,1112.43,1112.72,1094.62,1101.95,13193.05,567628.7,-1.0861
399006,2011/2/25,1098.11,1098.73,1085.8,1095.1,11940.88,483760.91,-0.6216
399006,2011/2/28,1096.34,1099.78,1087.59,1099.78,11392.73,460011.39,0.4274
399006,2011/3/1,1100.81,1102.55,1091.98,1098,12778.07,485378.3,-0.1619
399006,2011/3/2,1094.97,1096.09,1077.65,1088.9,10906.67,417237.85,-0.8288
399006,2011/3/3,1088.89,1091.89,1062.37,1064.31,10820.43,407138.86,-2.2582
399006,2011/3/4,1063.43,1071.86,1056.56,1071.86,8979.9,324732.97,0.7094
399006,2011/3/7,1073.93,1078.11,1069.93,1078.11,11258.84,414717.83,0.5831
399006,2011/3/8,1079.53,1085.31,1074.1,1084.82,11706.58,422842.3,0.6224
399006,2011/3/9,1084.7,1087.3,1075.46,1087.3,12460.36,468704.11,0.2286
399006,2011/3/10,1088.34,1103.54,1087.57,1093.9,14794.78,583428.74,0.607
399006,2011/3/11,1090.21,1113.01,1088.65,1101.76,15308.74,616575.82,0.7185
399006,2011/3/14,1099.32,1107.54,1095.9,1107.54,13830.78,518548,0.5246
399006,2011/3/15,1108.2,1108.2,1078.23,1094.95,15529.66,572628.02,-1.1368
399006,2011/3/16,1094.12,1102.67,1094.12,1102.22,12224.37,471434.74,0.664
399006,2011/3/17,1096.22,1096.22,1074.87,1078.37,13930.65,516152.43,-2.1638
399006,2011/3/18,1081.6,1088.31,1079.56,1083.6,9853.94,362059.17,0.485
399006,2011/3/21,1083.15,1084.55,1068.32,1070.6,9055.23,338114.44,-1.1997
399006,2011/3/22,1072.39,1074.08,1057.86,1067.29,8147.57,303137.59,-0.3092
399006,2011/3/23,1066.17,1076.56,1064.59,1076.56,9823.69,347200.52,0.8686
399006,2011/3/24,1078.02,1081.59,1074.04,1077.99,9742.98,346055.14,0.1328
399006,2011/3/25,1077.34,1078.02,1069.38,1072.34,10500.63,371415.56,-0.5241
399006,2011/3/28,1072.89,1074.41,1051.02,1052.11,13027.53,450633.78,-1.8865
399006,2011/3/29,1050.29,1050.29,1017.88,1019.04,13033.84,434717.26,-3.1432
399006,2011/3/30,1017.17,1019.17,1004.38,1006.37,10102.02,313314.54,-1.2433
399006,2011/3/31,1006.72,1019.32,1005.37,1008.3,9202.03,278835.52,0.1918
399006,2011/4/1,1006.04,1015.08,1002.86,1015.08,7670.52,235079.94,0.6724
399006,2011/4/6,1011.68,1011.82,992.31,994.26,9585.28,307724.45,-2.0511
399006,2011/4/7,993.38,1004.41,992.43,1004.41,8912.06,282532.81,1.0209
399006,2011/4/8,1004.14,1019.14,1002.38,1019.14,8393.35,265607.28,1.4665
399006,2011/4/11,1021.31,1022.56,1002.43,1002.8,9531.71,315118.45,-1.6033
399006,2011/4/12,1000.77,1007.25,997.75,1000.17,8075.36,260004.39,-0.2623
399006,2011/4/13,999.53,1020.75,998.52,1020.75,9076.21,305991.98,2.0577
399006,2011/4/14,1021.1,1021.46,1013.99,1016.62,8857,289478.16,-0.4046
399006,2011/4/15,1015.97,1016.15,1002.64,1010.06,8457.65,263319.3,-0.6453
399006,2011/4/18,1008.48,1010.66,1000.18,1003.26,8447.44,264129.89,-0.6732
399006,2011/4/19,1000.88,1000.88,986.9,994.3,9934.51,305486.86,-0.8931
399006,2011/4/20,993.94,1009.5,991.88,1008.18,10256.4,326873.36,1.396
399006,2011/4/21,1007.98,1017.7,1006.91,1010.56,13790.82,426755.78,0.2361
399006,2011/4/22,1008.17,1008.3,1000.92,1004.65,10304.69,311329.4,-0.5848
399006,2011/4/25,1001.08,1001.08,974.99,975.18,11402.99,327756.19,-2.9334
399006,2011/4/26,970.96,973.56,954.98,958.29,10170.48,287017.94,-1.732
399006,2011/4/27,956.77,961.64,936.99,942.54,10886.84,302605.26,-1.6436
399006,2011/4/28,941.2,944.7,903.03,904.15,11749.89,310340.26,-4.073
399006,2011/4/29,901.16,912.72,897.2,912.72,7643.09,200552.5,0.9479
399006,2011/5/3,911.79,923.06,907.28,922.07,7290.79,186375.5,1.0244
399006,2011/5/4,919.67,919.67,901.92,903.99,7347.47,190585.12,-1.9608
399006,2011/5/5,901.48,919.6,900.35,914.59,7809.64,194145.5,1.1726
399006,2011/5/6,910.14,920.77,904.74,918.28,7746.77,200825.89,0.4035
399006,2011/5/9,920.12,935.9,920.12,931.77,10048.43,226481.18,1.4691
399006,2011/5/10,932.88,933.24,925.04,931.21,7797.01,190458.39,-0.0601
399006,2011/5/11,931.51,933.28,923.26,929.95,7674.2,183687.45,-0.1353
399006,2011/5/12,927.15,927.15,909.14,909.26,8915.89,213048.94,-2.2249
399006,2011/5/13,909.25,912.61,897.8,909.77,8819.61,214287.83,0.0561
399006,2011/5/16,911.34,916.02,906.08,906.34,7045.71,180739.98,-0.377
399006,2011/5/17,903.98,904.48,890.36,895.15,10227.46,236120.97,-1.2346
399006,2011/5/18,891.99,894.89,888.18,890.79,8102.86,180205.18,-0.4871
399006,2011/5/19,891.48,895.54,883.87,884.89,7211.4,159240.91,-0.6623
399006,2011/5/20,884.06,884.33,873.87,875.43,7412.3,170677.36,-1.0691
399006,2011/5/23,873.31,873.59,840.65,840.9,11621.03,236058.73,-3.9443
399006,2011/5/24,836.79,876.6,828.5,870.94,17176.28,357196.79,3.5724
399006,2011/5/25,867.68,867.68,842.12,842.35,11877.33,244591.47,-3.2827
399006,2011/5/26,843.62,852.98,830.64,830.92,9855.74,200048.47,-1.3569
399006,2011/5/27,830.61,835.87,819.87,822.94,11601.6,225227.32,-0.9604
399006,2011/5/30,819.87,844.97,816.39,834.32,15763.45,294647.11,1.3828
399006,2011/5/31,836.35,846.32,828.66,846.32,13975.79,263222.62,1.4383
399006,2011/6/1,846.48,852.66,843.29,851.17,13758.23,256347.18,0.5731
399006,2011/6/2,841.52,841.52,823.1,833.74,11667.95,222848.36,-2.0478
399006,2011/6/3,833.44,849.73,832.53,847.55,11246.37,221420.69,1.6564
399006,2011/6/7,845.25,848.22,842.46,847.71,9263.72,176330.92,0.0189
399006,2011/6/8,846.67,846.93,836.99,844.98,10081.26,195761.44,-0.322
399006,2011/6/9,843.58,843.58,828.02,828.02,11540.93,216919.65,-2.0071
399006,2011/6/10,825.55,826.54,811.09,824.03,9711.32,185526.01,-0.4819
399006,2011/6/13,820.24,833.25,811.39,829.36,9666.05,187534.97,0.6468
399006,2011/6/14,829.51,840.69,829.27,838.47,10298.96,202601.86,1.0984
399006,2011/6/15,837.54,840.54,826.94,827.53,10320.58,195290.23,-1.3048
399006,2011/6/16,822.37,822.55,809.93,810.71,9894.23,184555.19,-2.0326
399006,2011/6/17,809.16,813.21,801.31,802.64,8212.63,150955.39,-0.9954
399006,2011/6/20,800.62,800.62,787.57,791.76,9019.26,169272.06,-1.3555
399006,2011/6/21,792,796.85,786.33,795.61,8620.58,167420.25,0.4863
399006,2011/6/22,797.42,798.24,788.56,791.51,7986.53,147087.76,-0.5153
399006,2011/6/23,790.7,815.78,783.86,814.44,15872.65,298117.94,2.897
399006,2011/6/24,812.31,835.3,810.58,832.32,18868.72,362507.42,2.1954
399006,2011/6/27,832.62,850.39,832.62,843.86,19376.62,374858.15,1.3865
399006,2011/6/28,843.98,844.96,836.94,844.18,13536.27,259568.69,0.0379
399006,2011/6/29,844.85,850.36,836.38,836.38,15335.02,292709.45,-0.924
399006,2011/6/30,834.82,846.88,834.82,845.92,13736.48,261070.13,1.1406
399006,2011/7/1,847.54,862.34,847.54,855.27,17894.1,346036.32,1.1053
399006,2011/7/4,856.5,876.17,856.5,876.17,22095.48,436878.02,2.4437
399006,2011/7/5,877.52,885.78,876.9,883.42,21318.05,428883.81,0.8275
399006,2011/7/6,881.6,894.28,877.82,894.28,20423.47,411037.82,1.2293
399006,2011/7/7,893.6,911.87,891.73,899.8,27806.67,562626.08,0.6173
399006,2011/7/8,899.47,902.05,888.22,894.91,17349.35,347225.9,-0.5435
399006,2011/7/11,894.07,903.9,889.82,903.31,19180.79,367919.3,0.9386
399006,2011/7/12,895.49,898.99,888.58,891.52,22787.93,444910.67,-1.3052
399006,2011/7/13,890.3,913.09,890.3,913.09,20941.61,422039.43,2.4195
399006,2011/7/14,913.49,932.78,913.49,932.78,29764.76,589202.27,2.1564
399006,2011/7/15,935.54,951.4,933.49,951.14,39300.75,803174.37,1.9683
399006,2011/7/18,952.03,959.27,944.1,946.12,30515.31,660170.34,-0.5278
399006,2011/7/19,940.42,940.42,924.09,927.3,23567.43,485791.76,-1.9892
399006,2011/7/20,932.21,937.75,920.22,930.83,20663.77,429643.7,0.3807
399006,2011/7/21,930.26,930.89,915.37,915.37,19154.05,382435.99,-1.6609
399006,2011/7/22,917.63,929.93,917.63,924,17410.83,366749.44,0.9428
399006,2011/7/25,920.85,920.85,884.1,887.06,22861.34,461640.68,-3.9978
399006,2011/7/26,884.02,892.54,878.16,892.54,14770.82,302679.63,0.6178
399006,2011/7/27,890.03,917.16,883.97,915.55,18772.14,398126.23,2.578
399006,2011/7/28,907.25,920.03,902.5,919.4,18265.24,401174.02,0.4205
399006,2011/7/29,919.53,924.84,910.24,913.28,18615.65,375093.7,-0.6657
399006,2011/8/1,911.94,931.37,910.98,927.38,17689.53,384827.79,1.5439
399006,2011/8/2,923.09,932.12,905.01,932.12,23958.92,493219.52,0.5111
399006,2011/8/3,922.81,951.59,918.64,945.51,29708.47,620189.73,1.4365
399006,2011/8/4,944.83,950.03,935.42,937.48,22005.47,463946.77,-0.8493
399006,2011/8/5,905.16,926.62,899.32,919.19,20231.88,434170.34,-1.951
399006,2011/8/8,908.08,913.32,859.16,877.44,24797.07,499582.93,-4.542
399006,2011/8/9,849,884.84,835.28,878.76,21274.61,428123.99,0.1504
399006,2011/8/10,891.22,901.86,889.86,891.75,20258.81,439296.22,1.4782
399006,2011/8/11,873.12,915.49,870.29,915.49,24299.69,519641.08,2.6622
399006,2011/8/12,920.29,932.78,920.29,926.3,23130.71,499471.81,1.1808
399006,2011/8/15,928.98,946.8,928.98,942.49,23146.74,505577.25,1.7478
399006,2011/8/16,942.95,944.87,929.79,933.14,20388.85,426131.02,-0.9921
399006,2011/8/17,932.01,941.45,926.02,936.16,19384.3,413275.25,0.3236
399006,2011/8/18,934.58,935.11,915.26,915.68,17747.05,374506.92,-2.1877
399006,2011/8/19,895.65,912.42,891.8,912.42,17192.19,352005.32,-0.356
399006,2011/8/22,913.61,925.39,907.86,910.61,17481.61,368998.39,-0.1984
399006,2011/8/23,912.35,936.42,912.35,936.42,22862.28,467752.41,2.8344
399006,2011/8/24,940.42,954.23,939.28,940.2,29333.81,626853.01,0.4037
399006,2011/8/25,942.64,943.72,927.36,942.94,24368.23,516962.3,0.2914
399006,2011/8/26,940.53,954.72,937.97,952.81,22732.99,479529.5,1.0467
399006,2011/8/29,951.55,959.67,947.73,954.03,23739.89,492224.7,0.128
399006,2011/8/30,957.29,960.15,933.82,934.19,22194.81,464780.67,-2.0796
399006,2011/8/31,931.79,936.1,911.82,921.5,16641.35,346261.83,-1.3584
399006,2011/9/1,921.97,930.19,913.16,917.75,14430.6,285841.48,-0.4069
399006,2011/9/2,916.07,918.59,902.48,909.85,13626.51,284799.43,-0.8608
399006,2011/9/5,902.37,902.37,883.46,883.87,13865.92,278011.29,-2.8554
399006,2011/9/6,876.71,884.61,869.81,874.74,10719.68,210982.6,-1.033
399006,2011/9/7,877.87,899.61,877.78,899.61,13303.36,266137.57,2.8431
399006,2011/9/8,903.25,909.88,891.52,891.93,14305.5,296021.23,-0.8537
399006,2011/9/9,889.47,895.84,877.53,881.58,12104.8,256531.92,-1.1604
399006,2011/9/13,870.04,870.04,858.91,861.92,10532.64,209944.48,-2.2301
399006,2011/9/14,864.08,877.04,855.34,876.95,11320.28,222260.01,1.7438
399006,2011/9/15,877.93,885.71,875.68,875.86,12034.32,234793.55,-0.1243
399006,2011/9/16,878.56,883.1,873.55,874.88,9530.35,188966.06,-0.1119
399006,2011/9/19,871.88,871.88,854.64,854.71,9134.55,171108.89,-2.3055
399006,2011/9/20,850.97,861.18,846.03,856.81,8764.36,167632.92,0.2457
399006,2011/9/21,856.8,881.56,854.29,881.03,13589.23,265707.49,2.8268
399006,2011/9/22,876.25,879.1,852.92,852.92,13003.28,246029.25,-3.1906
399006,2011/9/23,840.18,848.27,833.77,843.48,11805.47,214680.23,-1.1068
399006,2011/9/26,842,848.82,826.83,829.35,9799.54,178784.34,-1.6752
399006,2011/9/27,833.64,839.19,822.84,830.88,9305.74,176673.15,0.1845
399006,2011/9/28,834.03,838.33,814.34,817.52,8837.99,168375.1,-1.6079
399006,2011/9/29,813.26,813.26,791.05,791.89,10382.63,194707.4,-3.1351
399006,2011/9/30,792.76,796.48,781.79,791.13,8242.71,154359.68,-0.096
399006,2011/10/10,792.97,796.86,786.84,790.04,7146.82,139398.91,-0.1378
399006,2011/10/11,806.7,812.45,778.05,786.15,11984.73,216672.05,-0.4924
399006,2011/10/12,783.43,817.02,773.93,816.14,16374.81,302827.24,3.8148
399006,2011/10/13,816.53,835.63,814.63,833.02,19102.39,367014.54,2.0683
399006,2011/10/14,830.48,833.03,819.98,830.2,14457,282878.99,-0.3385
399006,2011/10/17,832.86,839.26,826.81,832.29,14582.19,300553.17,0.2517
399006,2011/10/18,826.53,828.18,806,806.6,16138.22,313462.01,-3.0867
399006,2011/10/19,807.21,813.95,798.8,804.44,13265.29,256411.87,-0.2678
399006,2011/10/20,801.03,801.03,771.15,778.95,14577.39,285460.03,-3.1687
399006,2011/10/21,777.03,779.46,760.16,763.3,11130.52,206035.8,-2.0091
